taxa,20230210_BC19,20230210_BC52,20230210_BC38,20230210_BC39,20230210_BC54,20230210_BC42,20230210_BC55,20230210_BC25,20230210_BC06,20230210_BC26,20230210_BC10,20230210_BC51,20230210_BC01,20230210_BC60,20230210_BC14,20230210_BC20,20230210_BC56,20230210_BC28,20230210_BC22,20230210_BC59,20230210_BC21,20230210_BC50,20230210_BC23,20230210_BC17,20230210_BC18,20230210_BC37,20230210_BC13,20230206_BC30,20230206_BC32,20230206_BC31,20230206_BC33,20230215_BC19,20230215_BC38,20230215_BC30,20230215_BC42,20230215_BC25,20230215_BC27,20230215_BC16,20230215_BC12,20230215_BC14,20230215_BC29,20230215_BC20,20230215_BC24,20230215_BC41,20230215_BC22,20230215_BC21,20230215_BC23,20230215_BC17,20230215_BC18,20230131_BC41,20230322_BC53,20230322_BC62,20230322_BC44,20230322_BC63,20230322_BC58,20230322_BC46,20230322_BC43,20230322_BC47,20230322_BC37
c__Desulfitobacteriia,0.000478568,0.003132864,0.027434503,0.000392628,0.002699439,0.006528407,0.001005675,0.003704745,0.003221447,0.001171706,0.002208738,0.005886499,0.00053749,0.005059659,0.007978336,0.0,0.001637427,3.81399e-05,2.00024e-05,0.005675352,0.0,0.015267709,6.85934e-05,7.14014e-05,0.004871788,0.005833171,0.011134616,0.000591782,0.000148137,0.00039268,0.0,0.003517128,3.99505e-05,0.000908383,0.004146778,0.009161963,0.000416826,0.001914987,0.000160772,0.0,0.00583331,0.007795583,0.000817284,0.01259626,0.008879623,0.001763746,0.00365371,4.07963e-05,0.009653748,5.73e-05,0.0,0.012645039,0.006345697,0.010217114,0.000918379,0.0,0.010440672,0.005359536,0.001336255
c__Desulfotomaculia,8.32293e-05,0.000526424,0.015683279,0.00016167,0.000639341,0.001562728,0.000431004,0.000868699,0.000814619,0.000390569,0.000558252,0.000990608,9.77254e-05,0.001548105,0.001747081,0.0,0.00051462,3.81399e-05,0.0,0.001502728,2.16708e-05,0.010743296,4.57289e-05,7.14014e-05,0.001145491,0.001166634,0.002804152,7.39727e-05,0.0,0.0,0.0,0.000732735,0.0,0.000173025,0.00101432,0.005948762,6.9471e-05,0.000345326,5.35906e-05,0.0,0.001183171,0.002045137,0.000142136,0.002035204,0.002432245,0.000396843,0.000676613,0.0,0.002030493,0.0,0.0,0.002652143,0.001391959,0.002476876,0.000286993,0.0,0.003009923,0.001042132,0.000427602
c__Desulfovibrionia,0.007303371,1.28396e-05,0.004493776,0.00886877,0.001225403,1.46049e-05,0.000951799,5.10999e-05,0.000536908,4.11125e-05,2.42718e-05,0.0,0.002027803,0.000604138,0.00014559,0.005154205,0.000998051,0.0,0.0,0.000671121,4.33416e-05,0.001519783,4.57289e-05,0.0,0.0,0.000864174,0.003132123,0.003624662,0.000370343,7.85361e-05,0.000403296,0.011503938,0.0,2.16282e-05,0.004415274,0.000521059,0.012574247,0.0,0.004072883,0.000607872,0.000137578,0.000601511,0.00174117,0.003630363,3.86071e-05,0.001014154,0.000202984,4.07963e-05,0.0,0.0,0.0,0.001136633,0.00028658,0.002360772,0.0,0.000192938,0.000470301,0.000248127,0.000801753
c__Fusobacteriia,0.01414898,7.70376e-05,0.009257179,0.012263846,0.048447823,0.062625968,7.18339e-05,0.021104269,0.007220484,0.00016445,0.0,0.004038634,0.013950307,0.009590696,0.000669714,0.004952079,0.00237037,5.72099e-05,0.001220146,0.002713665,0.009405136,0.001502315,0.001760563,0.000595011,6.90055e-05,0.000777756,0.000196783,0.000147945,0.0,3.9268e-05,0.000345682,0.017145997,7.99009e-05,0.00826196,0.000119332,0.0016066,0.003438813,0.000690651,0.000857449,0.000303936,0.004154858,0.002574467,0.002380783,0.002035204,0.000154428,0.00458574,0.00159004,0.000163185,0.059276147,0.0009168,0.000461681,0.000710395,0.014861213,0.341770192,0.00045919,0.000868223,0.002492593,0.000545879,0.001069004
c__Gammaproteobacteria,0.086766542,0.091430846,0.023637262,0.116933808,0.087287774,0.143551921,0.106152575,0.104167199,0.06076315,0.080765515,0.035072816,0.095517498,0.060760793,0.105157831,0.132865504,0.145901059,0.127360624,0.079578935,0.054846582,0.059875697,0.03803229,0.059830553,0.111189866,0.02291984,0.000552044,0.078445352,0.10316328,0.098679587,0.191615436,0.030354198,0.185976839,0.045429566,0.030442252,0.019184185,0.077834129,0.050195397,0.046093994,0.023325171,0.06034298,0.114634517,0.088297609,0.04049372,0.208585033,0.077337734,0.10771369,0.245072534,0.172773098,0.025416123,0.037083215,0.041943617,0.01966759,0.070660668,0.098829117,0.067688378,0.027838365,0.098012734,0.061891549,0.222470349,0.140787856
c__Negativicutes,0.030191427,0.033254584,0.011346785,0.00674396,0.012982169,0.024463269,0.053121184,0.029663507,0.024882899,0.007585257,0.072621359,0.033794982,0.020546774,0.018161909,0.058206913,0.061985211,0.014300195,0.019022283,0.147437693,0.086355811,0.018246831,0.139959822,0.015867935,0.035272277,0.000179414,0.026616545,0.033961398,0.012242483,0.00629583,0.003926804,0.009621478,0.027734017,0.208741161,0.003373994,0.061157518,0.218323925,0.015561499,0.201262008,0.017416935,0.170609392,0.000605344,0.000481209,0.055859569,0.050440044,0.040305768,0.000793686,0.030752055,0.063315927,0.020803648,0.019883108,0.000784857,0.013071276,0.051707197,0.003018693,0.07237975,0.033474822,0.073037671,0.011215324,0.029557967
c__TC1,2.08073e-05,0.0,0.000179751,0.0,0.0,2.92099e-05,0.0,0.0,3.70281e-05,2.05563e-05,2.42718e-05,1.90502e-05,0.0,1.88793e-05,5.8236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000122281,0.0,0.0,0.0,4.32087e-05,3.27971e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13932e-05,0.0,0.0,2.75156e-05,2.40604e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.56227e-05,0.0,0.0,0.0,8.188e-05,3.87012e-05,0.0,0.0,4.70301e-05,0.0,0.0
c__Vampirovibrionia,4.16146e-05,0.0,0.0,0.0,8.87973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001906812,0.0,0.0,0.000530214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001015404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c__Verrucomicrobiae,8.32293e-05,0.0,0.0,0.0,0.0,1.46049e-05,0.0,2.555e-05,1.85141e-05,0.0,0.0,0.0,7.32941e-05,0.0,5.8236e-05,6.73752e-05,0.0,9.53498e-06,0.0,0.0,0.0,8.73439e-05,0.0,0.000190404,2.76022e-05,2.16043e-05,1.63986e-05,0.000702741,7.40686e-05,0.001335113,0.0,0.0,0.0,0.0,8.94988e-05,8.68432e-05,6.9471e-05,0.0,0.000214362,0.0,0.0,4.81209e-05,0.0,0.000165017,0.0,0.0,0.0,0.0,3.56227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70301e-05,0.0,0.0
f__Acetivibrionaceae,0.001019559,0.000128396,0.003954523,0.002078618,0.000461746,4.38148e-05,0.0,0.00028105,0.000536908,0.0,9.70874e-05,0.000266702,0.001172705,0.001472587,2.9118e-05,0.000808503,0.000202729,9.53498e-05,0.0,0.000248023,6.50125e-05,0.000296969,0.0,0.000452209,0.000331226,0.000518504,0.00124629,0.000850686,0.000148137,0.003809,0.000115227,0.000366367,0.0,0.032247599,0.001819809,0.003603995,0.004341936,3.13932e-05,0.000107181,0.0,0.011749168,0.000288725,0.000355341,0.000770077,0.000501892,0.00048503,0.000236815,0.00089752,0.001282417,0.0,0.003370268,0.018375562,0.00012282,0.0,0.007978418,0.0,0.002680713,0.000148876,0.0
f__Acidaminococcaceae,0.011090304,0.013507267,0.004695996,0.004180332,0.010708958,0.005564481,0.004238201,0.015508828,0.018754744,0.000102781,0.014223301,0.02158383,0.006718624,0.015160097,0.024313543,0.038757601,0.010729045,0.011899654,0.025183022,0.000218844,0.000173367,0.01596646,0.007911103,0.015898705,5.52044e-05,0.002678938,0.019481478,0.01054111,0.001111029,0.000471217,0.00362966,0.0,0.0,0.000519076,0.034636038,0.026921407,0.014380493,0.0,0.000214362,0.0,0.000385219,9.62418e-05,0.000355341,0.018536854,0.001698711,4.40937e-05,0.023579959,0.024926567,7.12454e-05,0.018851708,0.000738689,0.011508406,0.001719479,0.002786486,5.73987e-05,0.0,0.002586653,0.00233239,0.019883479
f__Actinomycetaceae,6.2422e-05,2.56792e-05,0.000157282,0.000115479,0.0,2.92099e-05,1.79585e-05,2.555e-05,0.0,0.0,0.0,0.0,4.88627e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.37688e-05,0.0,5.24063e-05,2.28645e-05,0.0,1.38011e-05,0.0,4.91957e-05,0.000184932,0.000296274,0.000117804,0.000115227,0.000403004,0.0,0.000108141,5.96659e-05,0.0,0.0,0.0,0.0,0.0,2.75156e-05,0.0,3.55341e-05,0.0,0.0,0.0,3.38306e-05,4.07963e-05,0.0,0.0,0.0,4.73597e-05,0.0,7.74024e-05,0.0,0.0,0.0,9.92507e-05,0.0
f__Acutalibacteraceae,0.002704952,0.000629141,0.017570665,0.002863874,0.000497265,0.000525778,0.000215502,0.001430798,0.002110603,0.000102781,0.000436893,0.001333511,0.004422076,0.001095001,0.000611478,0.002627634,0.000265107,4.76749e-05,0.000100012,0.000554405,0.001300249,0.001397502,0.00041156,0.005069497,0.000690055,0.002009203,0.001295485,0.026741133,0.00474039,0.007500196,0.010370456,0.002051658,0.0,0.002206073,0.001461814,0.002561876,0.004376672,3.13932e-05,0.007341908,0.0,0.000385219,0.000505269,0.000817284,0.005885589,0.002046174,0.000837779,0.001454718,0.047242167,0.001816757,0.005730002,0.0,0.017428368,0.00065504,0.000503115,5.73987e-05,0.0,0.002633683,0.000397003,0.001336255
f__Akkermansiaceae,8.32293e-05,0.0,0.0,0.0,0.0,1.46049e-05,0.0,2.555e-05,1.85141e-05,0.0,0.0,0.0,7.32941e-05,0.0,5.8236e-05,6.73752e-05,0.0,9.53498e-06,0.0,0.0,0.0,8.73439e-05,0.0,0.000190404,2.76022e-05,2.16043e-05,1.63986e-05,0.000702741,7.40686e-05,0.001335113,0.0,0.0,0.0,0.0,8.94988e-05,8.68432e-05,6.9471e-05,0.0,0.000214362,0.0,0.0,4.81209e-05,0.0,0.000165017,0.0,0.0,0.0,0.0,3.56227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70301e-05,0.0,0.0
f__Anaerotignaceae,0.000686642,2.56792e-05,0.0,0.014457943,0.001704909,0.000569593,1.79585e-05,0.0003066,0.000740562,0.000205563,0.000242718,0.000361953,0.002101097,0.0044744,0.00014559,0.000656908,0.002557505,9.53498e-05,0.000220026,0.00109422,0.009708527,0.000349375,0.000274374,0.000190404,0.000220818,0.000194439,0.000442761,0.001738359,0.000296274,0.000353412,0.000288068,0.004139952,0.0,0.001751882,0.000387828,0.000130265,0.006182917,9.41797e-05,0.012325831,0.0,0.00401728,0.008445214,0.000675147,0.000385039,0.001003783,0.000396843,0.000202984,0.000815927,0.00039185,0.0004011,0.00498615,0.006772437,0.0002047,0.00096753,5.73987e-05,0.001639977,0.000846541,9.92507e-05,0.0001069
f__Anaerovoracaceae,0.008926342,0.001707668,0.031074462,2.30958e-05,0.000550543,0.005564481,0.000251419,0.001021999,0.000925703,0.000205563,0.000121359,0.003067076,0.000268745,0.000792932,0.00029118,0.003621419,0.000452242,0.0,0.0,0.000656532,2.16708e-05,0.00199144,0.000251509,0.003546268,0.002663612,0.001490699,0.004444007,0.002293154,7.40686e-05,0.000706825,0.000288068,0.002418025,0.0,0.003157713,0.001044153,0.000130265,0.001528362,0.0,0.000321543,0.0,0.001155656,0.000673692,0.000497477,0.006985699,0.000231642,0.00229287,0.000304476,0.0,0.012681676,0.0,0.0,0.001089273,0.00032752,0.000154805,0.0,0.0,0.00018812,0.001439135,0.000748303
f__Bacillaceae,0.010590928,0.001091367,0.000674066,0.008730195,0.030297649,0.020782825,0.00023346,0.019596822,0.011423176,0.003926244,2.42718e-05,0.003752881,0.005619213,0.02342924,0.002591503,0.007596557,0.021442495,0.000896288,0.002560307,0.007528231,0.000108354,0.001484846,0.017719956,0.000404608,5.52044e-05,0.021647547,0.030189731,3.69864e-05,0.0,0.0,0.0,0.009195823,0.000799009,0.091249243,0.003132458,0.000217108,0.002744104,0.001287122,0.001554126,0.00075984,0.013675261,0.04157644,0.001954374,0.011441144,0.010308084,0.046651087,0.007239758,0.0,0.031704189,0.015012606,0.000138504,0.024200805,0.004298698,0.043267928,5.73987e-05,0.000385877,0.002304473,0.002530892,0.000855203
f__Bacteroidaceae,0.093424886,0.6851985,0.281130634,0.317705206,0.593450309,0.423119614,0.68903096,0.592350341,0.712439598,0.768413263,0.800024272,0.644695483,0.268769392,0.518615013,0.529889643,0.498206135,0.645832359,0.814496982,0.473756851,0.582299904,0.2483476,0.468931784,0.45662612,0.160843488,0.633484225,0.658932314,0.431019498,0.358064874,0.591437671,0.587214325,0.475370168,0.502985895,0.062282769,0.365429535,0.62622315,0.307164568,0.378269478,0.596157468,0.482154341,0.519527886,0.533527777,0.4310909,0.486425983,0.468536854,0.556327697,0.534591472,0.576913969,0.073759791,0.537795668,0.77595691,0.842982456,0.33440682,0.451158601,0.264213011,0.79560326,0.705190044,0.336217843,0.618778224,0.763696617
f__Barnesiellaceae,0.000457761,0.0,0.0,0.000554298,0.0,1.46049e-05,5.38754e-05,2.555e-05,0.000333253,0.0,0.0,0.0,2.44314e-05,0.0,0.0,0.000252657,0.0,0.0,0.0,1.45896e-05,0.0,0.0,0.0,0.0,0.0,6.4813e-05,0.000180384,0.000850686,0.000666617,0.005654598,0.0,0.0,0.0,0.0,0.003520286,0.00026053,0.004029317,0.0,0.0,0.0,2.75156e-05,0.0,0.0,0.001320132,0.0,0.0,3.38306e-05,8.15927e-05,0.0,0.0,9.23361e-05,0.023727208,0.00012282,0.000270908,0.0,0.0,0.0,0.0,0.0
f__Bifidobacteriaceae,0.008510196,0.000552103,0.00220195,0.041964987,1.77595e-05,1.46049e-05,0.035072911,0.00022995,3.70281e-05,0.001788394,0.005752427,0.000571505,0.003273802,3.77586e-05,0.002096497,0.003874076,0.000436647,0.001134663,0.068128175,0.0215926,0.066377722,0.013346144,0.000914578,0.001166222,0.000414033,0.000777756,0.00101671,0.006028775,0.004147841,0.001924134,0.013251138,0.00021982,0.180016779,0.000216282,0.00375895,0.039122883,0.064781687,0.078702832,0.003215434,0.049642875,0.00132075,0.000312786,0.052021889,0.002750275,0.000193035,0.000176375,0.002165161,0.007873695,0.000320604,0.0,0.002539243,9.47194e-05,0.00090068,0.000193506,0.00218115,0.003569361,0.041621596,0.001191008,0.001977658
f__Burkholderiaceae,0.085497295,0.074777875,0.023637262,0.103214929,0.087252255,0.143172192,0.063752604,0.091801017,0.055505156,0.08035439,0.035048544,0.085401863,0.030075004,0.091092735,0.132865504,0.070002863,0.106822612,0.079540795,0.054766572,0.036984623,0.037967277,0.054677264,0.11105268,0.001142422,0.000151812,0.063754402,0.103130483,0.0281836,0.006888379,0.006361423,0.016592729,0.044843378,0.030162598,0.018686738,0.04797136,0.025879288,0.046024523,0.023136812,0.059753483,0.114533205,0.088215062,0.037245561,0.206808329,0.057920792,0.057447301,0.166012611,0.150614026,0.024926567,0.037047592,0.009225304,0.019159741,0.065309022,0.033202325,0.061147877,0.01360349,0.093961026,0.058364295,0.175673664,0.062162596
f__Butyricicoccaceae,0.005389097,0.000885933,0.002314295,0.002355767,0.000550543,0.001051555,0.000107751,0.003117095,0.000814619,0.000370013,0.000703883,0.000781057,0.000952823,0.001076121,0.000465888,0.001499099,0.000280702,3.81399e-05,0.000340041,0.000598173,0.001516957,0.001118002,0.000228645,0.001975438,0.002001159,0.000388878,0.000721536,0.002810963,0.002962744,0.00200267,0.003917728,0.001612017,0.001558068,8.65127e-05,0.000596659,0.000130265,0.003820904,0.0,0.001714898,5.0656e-05,0.000852984,0.000938357,0.000817284,0.001650165,0.004362597,0.000573218,0.000913427,0.00591547,0.002885437,0.0001146,0.000600185,0.002652143,8.188e-05,0.000270908,0.000172196,0.000385877,0.000752481,0.001985013,0.000801753
f__CAG-239,0.000957137,0.0,0.0,0.0,1.77595e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88793e-05,5.8236e-05,0.000269501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002017022,3.69864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001491647,0.0,0.001563097,0.0,0.0,0.0,2.75156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f__CAG-74,0.000665834,0.0,2.24689e-05,0.0,0.0,0.0,0.0,0.0,0.000111084,0.0,0.0,0.0,0.0,0.0,0.0,0.000218969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76009e-05,0.0,2.16043e-05,0.0,0.001146577,0.000592549,0.001099505,0.001728409,0.0,0.0,0.0,8.94988e-05,8.68432e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000660066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002415345,0.0,0.0,0.0,0.0,4.70301e-05,0.0,5.34502e-05
f__Christensenellaceae,4.16146e-05,0.0,0.000224689,0.0,1.77595e-05,0.0,0.0,0.0,3.70281e-05,0.0,0.0,0.0,0.0,3.77586e-05,0.0,0.0,4.67836e-05,0.0,0.0,0.0,0.0,5.24063e-05,0.0,0.000238005,1.38011e-05,0.0,6.55942e-05,0.002219181,0.000222206,0.001020969,0.000172841,0.0,0.0,0.0,0.0,0.000130265,0.000104206,0.0,0.0,0.0,0.0,0.0,0.0,5.50055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70301e-05,0.0,0.0
f__Coprobacteraceae,0.000124844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000437939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000196783,0.000110959,0.000370343,0.000628289,0.000172841,0.0,0.0,0.0,0.001581146,0.000130265,0.00316093,0.0,0.0,0.0,2.75156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87012e-05,0.0,0.0,0.0,0.0,0.0
f__Coriobacteriaceae,0.009467333,0.000860254,0.004785872,0.011455494,0.000408468,0.001270629,0.003735364,0.004650093,0.001981005,0.000801694,0.003567961,0.002057417,0.0123867,0.002208881,0.008298634,0.010241035,0.000670565,0.000772333,0.003220386,0.004230982,0.004074114,0.006725478,0.000937443,0.014256474,0.000345027,0.001166634,0.002935341,0.0,0.000222206,0.000117804,0.000230455,0.013995237,0.032359874,0.002076304,0.001193317,0.089057751,0.007954427,0.002291706,0.003322615,0.004103136,0.004760201,0.005076753,0.002771658,0.003740374,0.004825882,0.00097006,0.001894516,0.004487598,0.010366201,0.006589503,0.00023084,0.000757755,0.005322198,0.002747784,0.001607163,0.000964692,0.013168415,0.002927894,0.000267251
