Disease,NCBI name,MIrROR name,subtract,Health sign
Myxomatous Mitral Valve Disease (MMVD),Bacteroides,s__CAG-462_sp900291465,,유익
Myxomatous Mitral Valve Disease (MMVD),Turicibacter,g__Turicibacter,,유익
Myxomatous Mitral Valve Disease (MMVD),Amedibacillus dolichus (Eubacterium dolichum),s__Absiella_dolichum,,유익
Myxomatous Mitral Valve Disease (MMVD),Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,,유익
Myxomatous Mitral Valve Disease (MMVD),Faecalibacterium prausnitzii,s__Alistipes_sp900240235,,유익
Myxomatous Mitral Valve Disease (MMVD),Escherichia coli,s__Escherichia_coli,,유해
Myxomatous Mitral Valve Disease (MMVD),Escherichia coli,s__Escherichia_flexneri,,유해
Myxomatous Mitral Valve Disease (MMVD),Escherichia coli,s__Escherichia_dysenteriae,,유해
Myxomatous Mitral Valve Disease (MMVD),Bacteroides uniformis,s__Bacteroides uniformis,,유해
Hypertension,Prevotella,g__Prevotella,,유해
Hypertension,Prevotella,s__Prevotellamassilia_sp002933955,,유해
Hypertension,Prevotella,s__Dysgonomonas_sp000711235,,유해
Hypertension,Klebsiella,g__Klebsiella,,유해
Hypertension,Klebsiella,s__Cedecea_michiganensis,,유해
Hypertension,Enterobacter,g__Enterobacter,,유해
Hypertension,Enterobacter,s__Kosakonia_sp000814905,,유해
Hypertension,Enterobacter,s__Kosakonia_oryzendophytica,,유해
Hypertension,Enterobacter,s__Kosakonia_sp002886105,,유해
Hypertension,Enterobacter,s__Lelliottia_sp000016325,,유해
Hypertension,Enterobacter,s__Atlantibacter_sp002388125,,유해
Hypertension,Fusobacterium,g__Fusobacterium,,유해
Hypertension,Fusobacterium,s__Stomatobaculum_naviforme,,유해
Hypertension,Lactobacillus coryniformis,s__Lactobacillus_coryniformis,,유익
Hypertension,Parabacteroides,g__Parabacteroides,,유해
Hypertension,Parabacteroides,s__Marseille-P3160_sp900162725,,유해
Hypertension,Parabacteroides,s__OLMS01_sp900292045,,유해
Hypertension,Desulfovibrio,g__Desulfovibrio,,유해
Hypertension,Desulfovibrio,s__Pseudodesulfovibrio_desulfuricans,,유해
Hypertension,Desulfovibrio,s__Pseudodesulfovibrio_brasiliensis,,유해
Congestive Heart Failure,Holdemanella biformis ([Eubacterium] biforme),s__Holdemanella_biformis,,유익
Congestive Heart Failure,Escherichia coli,s__Escherichia_coli,,유해
Congestive Heart Failure,Escherichia coli,s__Escherichia_flexneri,,유해
Congestive Heart Failure,Escherichia coli,s__Escherichia_dysenteriae,,유해
Primary Sclerosing Cholangitis,Holdemanella,g__Holdemanella,,유익
Primary Sclerosing Cholangitis,Desulfovibrio,g__Desulfovibrio,,유익
Primary Sclerosing Cholangitis,Desulfovibrio,s__Pseudodesulfovibrio_desulfuricans,,유익
Primary Sclerosing Cholangitis,Desulfovibrio,s__Pseudodesulfovibrio_brasiliensis,,유익
Primary Sclerosing Cholangitis,Faecalibacterium,g__Faecalibacterium,,유익
Primary Sclerosing Cholangitis,Faecalibacterium,s__Alistipes_sp900240235,,유익
Primary Sclerosing Cholangitis,Parabacteroides,g__Parabacteroides,,유해
Primary Sclerosing Cholangitis,Parabacteroides,s__Marseille-P3160_sp900162725,,유해
Primary Sclerosing Cholangitis,Parabacteroides,s__OLMS01_sp900292045,,유해
Primary Sclerosing Cholangitis,Streptococcus,g__Streptococcus,,유해
Primary Sclerosing Cholangitis,Veillonella,g__Veillonella,,유해
Cholesterol Gallstone Disease,Bacteroides uniformis,s__Bacteroides_uniformis,,유익
Cholesterol Gallstone Disease,Faecalibacterium,g__Faecalibacterium,,유익
Cholesterol Gallstone Disease,Faecalibacterium,s__Alistipes_sp900240235,,유익
Cholesterol Gallstone Disease,Roseburia,g__Roseburia,,유익
Cholesterol Gallstone Disease,Lachnospira,g__Lachnospira,,유익
Cholesterol Gallstone Disease,Desulfovibrio piger,s__Desulfovibrio_piger,,유해
Cholesterol Gallstone Disease,Desulfovibrio desulfuricans,s__Desulfovibrio_desulfuricans,,유해
Cholesterol Gallstone Disease,Desulfovibrio vulgaris,s__Desulfovibrio_vulgaris,,유해
Exocrine Pancreatic Insufficiency,Fusobacterium,g__Fusobacterium,,유익
Exocrine Pancreatic Insufficiency,Fusobacterium,s__Stomatobaculum_naviforme,,유익
Exocrine Pancreatic Insufficiency,Clostridium hiranonis,s__Clostridium_hiranonis,,유익
Exocrine Pancreatic Insufficiency,Lactobacillus,g__Lactobacillus,,유해
Exocrine Pancreatic Insufficiency,Bifidobacterium,g__Bifidobacterium,"s__Bifidobacterium_vaginale
s__Bifidobacterium_lacrimalis",유해
Exocrine Pancreatic Insufficiency,Escherichia coli,s__Escherichia_coli,,유해
Exocrine Pancreatic Insufficiency,Escherichia coli,s__Escherichia_flexneri,,유해
Exocrine Pancreatic Insufficiency,Escherichia coli,s__Escherichia_dysenteriae,,유해
Idiopathic Inflammatory Bowel Disease,Ruminococcus,g__Ruminococcus,,유익
Idiopathic Inflammatory Bowel Disease,Ruminococcus,s__Faecalicatena_torques,,유익
Idiopathic Inflammatory Bowel Disease,Ruminococcus,s__Faecalicatena_lactaris,,유익
Idiopathic Inflammatory Bowel Disease,Ruminococcus,s__Faecalicatena_gnavus,,유익
Idiopathic Inflammatory Bowel Disease,Ruminococcus,s__HUN007_sp000712055,,유익
Idiopathic Inflammatory Bowel Disease,Ruminococcus,s__CAG-353_sp900066885,,유익
Idiopathic Inflammatory Bowel Disease,Ruminococcus,s__Blautia_sp900066165,,유익
Idiopathic Inflammatory Bowel Disease,Megamonas,g__Megamonas,,유익
Idiopathic Inflammatory Bowel Disease,Prevotella,g__Prevotella,,유익
Idiopathic Inflammatory Bowel Disease,Prevotella,s__Prevotellamassilia_sp002933955,,유익
Idiopathic Inflammatory Bowel Disease,Prevotella,s__Dysgonomonas_sp000711235,,유익
Idiopathic Inflammatory Bowel Disease,Diaphorobacter,g__Diaphorobacter,,유해
Idiopathic Inflammatory Bowel Disease,Acinetobacter,g__Acinetobacter,,유해
Idiopathic Inflammatory Bowel Disease,Acinetobacter,s__CAG-196_sp002102975,,유해
Acute Pancreatitis,Bifidobacterium,g__Bifidobacterium,"s__Bifidobacterium_vaginale
s__Bifidobacterium_lacrimalis",유익
Acute Pancreatitis,Prevotella,g__Prevotella,,유익
Acute Pancreatitis,Prevotella,s__Prevotellamassilia_sp002933955,,유익
Acute Pancreatitis,Prevotella,s__Dysgonomonas_sp000711235,,유익
Acute Pancreatitis,Faecalibacterium,g__Faecalibacterium,,유익
Acute Pancreatitis,Faecalibacterium,s__Alistipes_sp900240235,,유익
Acute Pancreatitis,Blautia,g__Blautia,,유익
Acute Pancreatitis,Blautia,s__Ruminococcus_sp003011855,,유익
Acute Pancreatitis,Blautia,s__Fusicatenibacter_saccharivorans,,유익
Acute Pancreatitis,Blautia,s__Ruminococcus_sp000437095,,유익
Acute Pancreatitis,Escherichia/Shigella,g__Escherichia,,유해
Acute Pancreatitis,Enterococcus,g__Enterococcus,,유해
Acute Pancreatitis,Enterococcus,s__Vagococcus_sp002140795,,유해
Intestinal Lymphangiectasia,Faecalibacterium,g__Faecalibacterium,,유익
Intestinal Lymphangiectasia,Faecalibacterium,s__Alistipes_sp900240235,,유익
Intestinal Lymphangiectasia,Ruminococcus torques,s__Faecalicatena_torques,,유익
Intestinal Lymphangiectasia,Ruminococcus gnavus,s__Faecalicatena_gnavus,,유해
Nephrolithiasis,Oxalobacter formigenes,s__Oxalobacter_formigenes,,유익
Nephrolithiasis,Prevotella,g__Prevotella,,유익
Nephrolithiasis,Prevotella,s__Prevotellamassilia_sp002933955,,유익
Nephrolithiasis,Prevotella,s__Dysgonomonas_sp000711235,,유익
Nephrolithiasis,Bacteroides,g__Bacteroides,,유해
Nephrolithiasis,Bacteroides,s__Barnesiella_intestinihominis,,유해
Nephrolithiasis,Bacteroides,s__CAG-462_sp900291465,,유해
Nephrolithiasis,Fusicatenibacter,g__Fusicatenibacter,,유익
Nephrolithiasis,Dorea,g__Dorea,,유익
Nephrolithiasis,Phascolarctobacterium,g__Phascolarctobacterium,,유해
Nephrolithiasis,Erysipelatoclostridium,g__Erysipelatoclostridium,,유해
Chronic Kidney Disease,Escherichia/Shigella,g__Escherichia,,유해
Chronic Kidney Disease,Flavonifractor,g__Flavonifractor,,유해
Chronic Kidney Disease,Flavonifractor,s__Lawsonibacter_sp900066645,,유해
Chronic Kidney Disease,Hungatella,g__Hungatella,,유해
Chronic Kidney Disease,Parabacteroides,g__Parabacteroides,,유해
Chronic Kidney Disease,Parabacteroides,s__Marseille-P3160_sp900162725,,유해
Chronic Kidney Disease,Parabacteroides,s__OLMS01_sp900292045,,유해
Chronic Kidney Disease,Pseudomonas,g__Pseudomonas,,유해
Chronic Kidney Disease,Pseudomonas,s__Paraburkholderia_acidophila,,유해
Chronic Kidney Disease,Intestinimonas,g__Intestinimonas,,유해
Chronic Kidney Disease,Roseburia,g__Roseburia,,유익
Chronic Kidney Disease,Megamonas,g__Megamonas,,유익
Autoimmune Disease,Bacteroides fragilis,s__Bacteroides_fragilis,,유익
Diabetes Mellitus,Enterococcus,g__Enterococcus,,유해
Diabetes Mellitus,Enterococcus,s__Vagococcus_sp002140795,,유해
Diabetes Mellitus,Escherichia/Shigella,g__Escherichia,,유해
Cushing's Syndrome,Agathobacter,g__Agathobacter,,유익
Cushing's Syndrome,Blautia,g__Blautia,s__Blautia_sp900066165,유익
Cushing's Syndrome,Blautia,s__Ruminococcus_sp003011855,,유익
Cushing's Syndrome,Blautia,s__Fusicatenibacter_saccharivorans,,유익
Cushing's Syndrome,Blautia,s__Ruminococcus_sp000437095,,유익
Cushing's Syndrome,Anaerostipes,s__Anaerostipes,,유익
Cushing's Syndrome,Anaerostipes,s__992a_sp001940245,,유익
Cushing's Syndrome,Ruminococcus,g__Ruminococcus,"s__Ruminococcus_sp003011855
s__Ruminococcus_sp000437095",유익
Cushing's Syndrome,Ruminococcus,s__Faecalicatena_torques,,유익
Cushing's Syndrome,Ruminococcus,s__Faecalicatena_lactaris,,유익
Cushing's Syndrome,Ruminococcus,s__Faecalicatena_gnavus,,유익
Cushing's Syndrome,Ruminococcus,s__HUN007_sp000712055,,유익
Cushing's Syndrome,Ruminococcus,s__CAG-353_sp900066885,,유익
Cushing's Syndrome,Ruminococcus,s__Blautia_sp900066165,,유익
Cushing's Syndrome,Lachnospira eligens (Eubacterium eligens),s__Lachnospira_eligens,,유익
Cushing's Syndrome,Anaerobutyricum hallii (Eubacterium hallii),s__Eubacterium_hallii,,유익
Cushing's Syndrome,Escherichia/Shigella,g__Escherichia,,유해
Multicentric Lymphoma,Faecalibacterium,g__Faecalibacterium,,유익
Multicentric Lymphoma,Faecalibacterium,s__Alistipes_sp900240235,,유익
Multicentric Lymphoma,Fusobacterium,g__Fusobacterium,,유익
Multicentric Lymphoma,Fusobacterium,s__Stomatobaculum_naviforme,,유익
Multicentric Lymphoma,Turicibacter,g__Turicibacter,,유익
Multicentric Lymphoma,Streptococcus,g__Streptococcus,,유해
Lymphoma,Campylobacter jejuni,s__Campylobacter_jejuni,,유해
Lymphoma,Borrelia burgdorferi,s__Borreliella_burgdorferi,,유해
Lymphoma,Chlamydia psittaci,s__Chlamydophila_psittaci,,유해
Lymphoma,Chlamydia psittaci,s__Chlamydophila_avium,,유해
Cutaneous T-cell Lymphoma,Eggerthellaceae,f__Eggerthellaceae,,유익
Cutaneous T-cell Lymphoma,Lactobacillaceae,f__Lactobacillaceae,,유익
Cutaneous T-cell Lymphoma,Anaerotruncus,g__Anaerotruncus,,유익
Chronic Arthritis,Anaerobiospirillum,g__Anaerobiospirillum,,유익
Chronic Arthritis,Phascolarctobacterium,g__Phascolarctobacterium,,유익
Chronic Arthritis,Parabacteroides,g__Parabacteroides,,유익
Chronic Arthritis,Parabacteroides,s__Marseille-P3160_sp900162725,,유익
Chronic Arthritis,Parabacteroides,s__OLMS01_sp900292045,,유익
Chronic Arthritis,Megamonas,g__Megamonas,,유해
Osteoarthritis,Streptococcus,g__Streptococcus,,유해
Atopic Dermatitis,Blautia,g__Blautia,,유해
Atopic Dermatitis,Blautia,s__Ruminococcus_sp003011855,,유해
Atopic Dermatitis,Blautia,s__Fusicatenibacter_saccharivorans,,유해
Atopic Dermatitis,Blautia,s__Ruminococcus_sp000437095,,유해
Atopic Dermatitis,Parabacteroides,g__Parabacteroides,,유해
Atopic Dermatitis,Parabacteroides,s__Marseille-P3160_sp900162725,,유해
Atopic Dermatitis,Parabacteroides,s__OLMS01_sp900292045,,유해
Atopic Dermatitis,Bacteroides ovatus,s__Bacteroides_ovatus,,유해
Atopic Dermatitis,Bacteroides uniformis,s__Bacteroides uniformis,,유해
Atopic Dermatitis,Clostridium,g__Clostridium,s__Clostridium_hiranonis,유익
Atopic Dermatitis,Clostridium,s__Coprococcus_sp000154245,,유익
Atopic Dermatitis,Clostridium,s__Ruminiclostridium_sp000244875,,유익
Atopic Dermatitis,Clostridium,s__Eubacterium_sp000270305,,유익
Atopic Dermatitis,Clostridium,s__Hungatella_sp000526575,,유익
Atopic Dermatitis,Clostridium,s__Anaerocolumna_sp000702945,,유익
Atopic Dermatitis,Clostridium,s__Khelaifiella_sp000744935,,유익
Atopic Dermatitis,Clostridium,s__CAG-306_sp000980375,,유익
Atopic Dermatitis,Clostridium,s__Coprococcus_sp900066115,,유익
Atopic Dermatitis,Clostridium,s__TF01-11_sp001414325,,유익
Atopic Dermatitis,Clostridium,s__MS4_sp000752215,,유익
Atopic Dermatitis,Clostridium,s__CAG-217_sp000436335,,유익
Atopic Dermatitis,Clostridium,s__Lachnoclostridium_sp900078195,,유익
Atopic Dermatitis,Clostridium,s__Dorea_sp900086625,,유익
Atopic Dermatitis,Clostridium,s__Faecalicatena_sp900120155,,유익
Atopic Dermatitis,Clostridium,s__Flavonifractor_sp900199495,,유익
Atopic Dermatitis,Clostridium,s__CAG-81_sp900066785,,유익
Atopic Dermatitis,Clostridium,s__Absiella_innocuum,,유익
Atopic Dermatitis,Clostridium,s__Bittarella_massiliensis,,유익
Atopic Dermatitis,Clostridium,s__Hungatella_guttoideum,,유익
Atopic Dermatitis,Clostridium,s__Lawsonibacter_asaccharolyticus,,유익
Atopic Dermatitis,Clostridium,s__GCA-900066995_sp900291955,,유익
Food Allergy,Oscillibacter valericigenes,s__Oscillibacter_valericigenes,,유해
Food Allergy,Lachnoclostridium bolteae,s__Clostridium_bolteae,,유해
Food Allergy,Faecalibacterium,g__Faecalibacterium,,유해
Food Allergy,Faecalibacterium,s__Alistipes_sp900240235,,유해
Food Allergy,Blautia,g__Blautia,,유익
Food Allergy,Blautia,s__Ruminococcus_sp003011855,,유익
Food Allergy,Blautia,s__Fusicatenibacter_saccharivorans,,유익
Food Allergy,Blautia,s__Ruminococcus_sp000437095,,유익
Food Allergy,Dorea,g__Dorea,,유익
Food Allergy,Akkermansia,g__Akkermansia,,유익
Food Allergy,Lachnospira,g__Lachnospira,,유해
Food Allergy,Veillonella,g__Veillonella,,유해
Food Allergy,Sutterella,g__Sutterella,,유해
Food Allergy,Citrobacter,g__Citrobacter,,유익
Food Allergy,Lactococcus,g__Lactococcus,,유익
Glaucoma,Blautia,g__Blautia,,유익
Glaucoma,Blautia,s__Ruminococcus_sp003011855,,유익
Glaucoma,Blautia,s__Fusicatenibacter_saccharivorans,,유익
Glaucoma,Blautia,s__Ruminococcus_sp000437095,,유익
Acute Diarrhea,Clostridium perfringens,s__Clostridium_perfringens,,유해
Acute Diarrhea,Clostridium perfringens,s__Clostridium_tertium,,유해
Acute Diarrhea,Prevotella,g__Prevotella,,유익
Acute Diarrhea,Prevotella,s__Prevotellamassilia_sp002933955,,유익
Acute Diarrhea,Prevotella,s__Dysgonomonas_sp000711235,,유익
Acute Diarrhea,Blautia,g__Blautia,,유익
Acute Diarrhea,Blautia,s__Ruminococcus_sp003011855,,유익
Acute Diarrhea,Blautia,s__Fusicatenibacter_saccharivorans,,유익
Acute Diarrhea,Blautia,s__Ruminococcus_sp000437095,,유익
Acute Diarrhea,Faecalibacterium,g__Faecalibacterium,,유익
Acute Diarrhea,Faecalibacterium,s__Alistipes_sp900240235,,유익
Acute Diarrhea,Eubacterium,g__Eubacterium,s__Eubacterium_sp000270305,유익
Acute Diarrhea,Eubacterium,s__Peptoanaerobacter_yurii,,유익
Acute Diarrhea,Eubacterium,s__Faecalicatena_contorta,,유익
Acute Diarrhea,Eubacterium,s__Ruminiclostridium_siraeum,,유익
Acute Diarrhea,Eubacterium,s__Agathobacter_rectale,,유익
Acute Diarrhea,Eubacterium,s__Absiella_sp000163515,,유익
Acute Diarrhea,Eubacterium,s__CAG-180_sp000432435,,유익
Acute Diarrhea,Eubacterium,s__Lachnospira_sp000437735,,유익
Acute Diarrhea,Eubacterium,s__Holdemanella_sp002299315,,유익
Chronic Enteropathy,Clostridium hiranonis,s__Clostridium_hiranonis,,유익
Chronic Enteropathy,Blautia,g__Blautia,,유익
Chronic Enteropathy,Blautia,s__Ruminococcus_sp003011855,,유익
Chronic Enteropathy,Blautia,s__Fusicatenibacter_saccharivorans,,유익
Chronic Enteropathy,Blautia,s__Ruminococcus_sp000437095,,유익
Chronic Enteropathy,Faecalibacterium,g__Faecalibacterium,,유익
Chronic Enteropathy,Faecalibacterium,s__Alistipes_sp900240235,,유익
Chronic Enteropathy,Fusobacterium,g__Fusobacterium,,유익
Chronic Enteropathy,Fusobacterium,s__Stomatobaculum_naviforme,,유익
Chronic Enteropathy,Turicibacter,g__Turicibacter,,유익
Chronic Enteropathy,Bifidobacterium,g__Bifidobacterium,"s__Bifidobacterium_vaginale
s__Bifidobacterium_lacrimalis",유해
Chronic Enteropathy,Lactobacillus,g__Lactobacillus,,유해
Chronic Enteropathy,Streptococcus,g__Streptococcus,,유해
Chronic Enteropathy,Escherichia coli,s__Escherichia_coli,,유해
Chronic Enteropathy,Escherichia coli,s__Escherichia_flexneri,,유해
Chronic Enteropathy,Escherichia coli,s__Escherichia_dysenteriae,,유해
Obesity,Bacteroides,g__Bacteroides,,유익
Obesity,Bacteroides,g__Bacteroides,,유익
Obesity,Bacteroides,s__CAG-462_sp900291465,,유익
Obesity,Paraprevotella,g__Paraprevotella,,유익
Obesity,Megamonas,g__Megamonas,,유해
Obesity,Coprobacillus,g__Coprobacillus,,유익
Obesity,Coprobacillus,s__Erysipelatoclostridium_sp003024675,,유익
Obesity,Escherichia coli,s__Escherichia_coli,,유해
Obesity,Escherichia coli,s__Escherichia_flexneri,,유해
Obesity,Escherichia coli,s__Escherichia_dysenteriae,,유해
Conspecific Aggression,Dorea,g__Dorea,,유익
Conspecific Aggression,Bacteroides,g__Bacteroides,,유익
Conspecific Aggression,Bacteroides,s__Barnesiella_intestinihominis,,유익
Conspecific Aggression,Bacteroides,s__CAG-462_sp900291465,,유익
Conspecific Aggression,Fusobacterium,g__Fusobacterium,,유익
Conspecific Aggression,Fusobacterium,s__Stomatobaculum_naviforme,,유익
Conspecific Aggression,Lactobacillus,g__Lactobacillus,,유해
Conspecific Aggression,Megamonas,g__Megamonas,,유해
Phobic Behavioral Disorders,Lactobacillus,g__Lactobacillus,,유해
Pruritus,Lachnospira,g__Lachnospira,,유익
Pruritus,Faecalibacterium,g__Faecalibacterium,,유익
Pruritus,Faecalibacterium,s__Alistipes_sp900240235,,유익
Pruritus,Peptoclostridium,g__Peptoclostridium,,유익
Pruritus,Peptoclostridium,s__Clostridium_hiranonis,,유익
Pruritus,Sutterella,g__Sutterella,,유익
Pruritus,Fusobacterium,g__Fusobacterium,,유익
Pruritus,Fusobacterium,s__Stomatobaculum_naviforme,,유익
Pruritus,Ruminococcus torques,s__Faecalicatena_torques,,유익
Pruritus,Megamonas,g__Megamonas,,유해
Pruritus,Ruminococcus gnavus,s__Faecalicatena_gnavus,,유해
